collection_slug,collection_name_pt_br,collection_name_en,collection_name_es,section_code,section_type,section_name_pt_br,section_name_en,section_name_es,sticker_code,sticker_type,sticker_name_pt_br,sticker_name_en,sticker_name_es,album_order,section_order,player_name,country_iso2,wikidata_id
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CAN,NATIONAL_TEAM,Canada,Canada,Canada,CAN 3,PLAYER,Alphonso Davies,Alphonso Davies,Alphonso Davies,92,3,Alphonso Davies,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CAN,NATIONAL_TEAM,Canada,Canada,Canada,CAN 4,PLAYER,Alistair Johnston,Alistair Johnston,Alistair Johnston,93,4,Alistair Johnston,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CAN,NATIONAL_TEAM,Canada,Canada,Canada,CAN 5,PLAYER,Samuel Adekugbe,Samuel Adekugbe,Samuel Adekugbe,94,5,Samuel Adekugbe,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CAN,NATIONAL_TEAM,Canada,Canada,Canada,CAN 6,PLAYER,Richie Laryea,Richie Laryea,Richie Laryea,95,6,Richie Laryea,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CAN,NATIONAL_TEAM,Canada,Canada,Canada,CAN 7,PLAYER,Derek Cornelius,Derek Cornelius,Derek Cornelius,96,7,Derek Cornelius,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CAN,NATIONAL_TEAM,Canada,Canada,Canada,CAN 8,PLAYER,Moïse Bombito,Moïse Bombito,Moïse Bombito,97,8,Moïse Bombito,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CAN,NATIONAL_TEAM,Canada,Canada,Canada,CAN 9,PLAYER,Kamal Miller,Kamal Miller,Kamal Miller,98,9,Kamal Miller,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CAN,NATIONAL_TEAM,Canada,Canada,Canada,CAN 10,PLAYER,Stephen Eustáquio,Stephen Eustáquio,Stephen Eustáquio,99,10,Stephen Eustáquio,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CAN,NATIONAL_TEAM,Canada,Canada,Canada,CAN 11,PLAYER,Ismaël Koné,Ismaël Koné,Ismaël Koné,100,11,Ismaël Koné,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CAN,NATIONAL_TEAM,Canada,Canada,Canada,CAN 12,PLAYER,Jonathan Osorio,Jonathan Osorio,Jonathan Osorio,101,12,Jonathan Osorio,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CAN,NATIONAL_TEAM,Canada,Canada,Canada,CAN 13,TEAM,Team Photo,Team Photo,Team Photo,102,13,,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CAN,NATIONAL_TEAM,Canada,Canada,Canada,CAN 14,PLAYER,Jacob Shaffelburg,Jacob Shaffelburg,Jacob Shaffelburg,103,14,Jacob Shaffelburg,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CAN,NATIONAL_TEAM,Canada,Canada,Canada,CAN 15,PLAYER,Mathieu Choinière,Mathieu Choinière,Mathieu Choinière,104,15,Mathieu Choinière,,
